admin_area_1,admin_area_2,count,facility_id,indicator_common_id,indicator_id,indicator_label,month,period_id,year
Bangladesh,Barishal Division,178,AAkm9AltRT5,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
Bangladesh,Barishal Division,11,AAkm9AltRT5,delivery,No. of Normal Deliveries,Institutional delivery,05,202305,2023
Bangladesh,Barishal Division,13,AAkm9AltRT5,delivery,No. of Normal Deliveries,Institutional delivery,06,202306,2023
Bangladesh,Barishal Division,12,AAkm9AltRT5,delivery,No. of Normal Deliveries,Institutional delivery,07,202307,2023
Bangladesh,Barishal Division,19,AAkm9AltRT5,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,05,202305,2023
Bangladesh,Barishal Division,21,AAkm9AltRT5,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,06,202306,2023
Bangladesh,Barishal Division,30,AAkm9AltRT5,pnc1,No. of mother received PNC 1 services at facility,Postnatal care 1,07,202307,2023
Bangladesh,Barishal Division,6102,AAkm9AltRT5,opd,Outdoor Patients,Outpatient visit,05,202305,2023
Bangladesh,Barishal Division,5965,AAkm9AltRT5,opd,Outdoor Patients,Outpatient visit,06,202306,2023
Bangladesh,Barishal Division,5407,AAkm9AltRT5,opd,Outdoor Patients,Outpatient visit,07,202307,2023
Bangladesh,Rajshahi Division,753,ABDYRR00inN,bcg,BCG given (0-11m),BCG vaccine,05,202305,2023
Bangladesh,Rajshahi Division,759,ABDYRR00inN,bcg,BCG given (0-11m),BCG vaccine,06,202306,2023
Bangladesh,Rajshahi Division,697,ABDYRR00inN,bcg,BCG given (0-11m),BCG vaccine,07,202307,2023
Bangladesh,Rajshahi Division,123,ABDYRR00inN,anc1,No.  of mother received  ANC 1,Antenatal care 1,05,202305,2023
Bangladesh,Rajshahi Division,100,ABDYRR00inN,anc1,No.  of mother received  ANC 1,Antenatal care 1,06,202306,2023
Bangladesh,Rajshahi Division,150,ABDYRR00inN,anc1,No.  of mother received  ANC 1,Antenatal care 1,07,202307,2023
Bangladesh,Rajshahi Division,48,ABDYRR00inN,anc4,No.  of mother received  ANC 4,Antenatal care 4,05,202305,2023
Bangladesh,Rajshahi Division,50,ABDYRR00inN,anc4,No.  of mother received  ANC 4,Antenatal care 4,06,202306,2023
Bangladesh,Rajshahi Division,87,ABDYRR00inN,anc4,No.  of mother received  ANC 4,Antenatal care 4,07,202307,2023
